id,Exercise name,Gender,instructions,avg_time_per_rep,is_per_side,exercise_type,place,equipments,requires_weight,weight_unit,recommended_weight_range
89,Boxing with a Punching Bag,both,"1. Stance: one foot forward, hands up. 2. Strike the bag (jabs, crosses, hooks). 3. Keep moving.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
90,Bulgarian Split Squats,both,1. One foot on bench behind you. 2. Hop forward with front foot. 3. Lower hips (lunge). 4. Drive up.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
91,Burpees  Squat Thrusts,both,1. Stand. 2. Drop to hands/feet. 3. Chest to floor. 4. Push up. 5. Jump feet in. 6. Jump up and clap.,1,false,Cardio,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
92,Butt Kicks,both,1. Jog in place/forward. 2. Kick heels up to touch glutes.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
93,Butterflies  Pec Deck  Seated Machine Flyes,both,1. Sit on machine. 2. Elbows/hands on pads at shoulder height. 3. Squeeze arms together. 4. Open slowly.,3,false,Strength,Gym,"[""Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
94,Butterfly Stretch,both,"1. Sit on floor. 2. Soles of feet together. 3. Hold feet, gently press knees down using leg muscles or elbows.",15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
95,Cable Core Rotation,both,1. Cable at waist height. 2. Stand side-on. 3. Grip handle with both hands. 4. Rotate torso away from machine.,15,false,Stretching,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
96,Cable Hammer Bicep Curls,both,1. Rope attachment low pulley. 2. Neutral grip (palms facing). 3. Curl upwards.,3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
97,Cable Hip Abduction  Adduction,both,1. Ankle strap low pulley. 2. Stand sideways. 3. Kick leg out to side (Abduction) or across body (Adduction).,3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
98,Cable Hip Extensions,both,1. Ankle strap. 2. Face machine. 3. Extend leg back behind you.,3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
99,Cable Pull Throughs  Pulls,both,"1. Rope low pulley. 2. Face away, rope between legs. 3. Hinge forward (stretch hamstrings). 4. Drive hips forward/up to stand.",3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
100,Cable Rope Overhead Triceps Extensions,both,"1. Rope high pulley. 2. Turn away from machine. 3. Leaning forward, elbows by ears. 4. Extend arms forward/up.",3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
101,Cable Shrugs,both,1. Attach straight bar to low pulley. 2. Stand holding bar with overhand grip. 3. Shrug shoulders up towards ears keeping arms straight. 4. Pause and lower.,3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
102,Cable Squat Rows  Row Squats,both,"1. Attach rope/handle to low pulley. 2. Squat down while holding handle, arms extended. 3. Drive up to standing while pulling handle to body (row). 4. Return to squat while extending arms.",3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
103,Cable Triceps Kickbacks,both,1. Remove handle from low pulley (hold rubber stop) or use rope. 2. Bend forward at hips. 3. Elbow high. 4. Extend arm back.,3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
104,Cable Upright Rows,both,1. Straight bar/rope low pulley. 2. Pull bar vertically close to body up to chest height. 3. Elbows lead the movement.,3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
105,Captain's Chair Leg  Knee  Hip Raises,both,1. Support self on forearms in vertical station. 2. Back flat against pad. 3. Lift knees directly up towards chest. 4. Lower slowly.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
106,Cardio - Assault Bike,both,1. Adjust seat height. 2. Start pedaling and pushing/pulling handles simultaneously. 3. Match arm and leg intensity.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
107,Cardio - Walking  Treadmill,both,1. Stand on side rails. 2. Start belt. 3. Step onto belt. 4. Maintain upright posture while walking.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
108,Cardio – Road Bike  Cycling  Riding,both,1. Ensure bike fit is correct. 2. Pedal with consistent cadence. 3. Maintain aerodynamic but comfortable posture.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
109,Cardio – Running  Jogging  Treadmill,both,1. Start at comfortable pace. 2. Land mid-foot. 3. Maintain fast cadence (steps per min).,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
110,Cardio – Swimming,both,1. Maintain streamline body position. 2. Coordinate breathing with stroke. 3. Kick from hips.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
111,Cardio – Cross Trainer  Crosstrainer Machine,both,1. Place feet on pedals. 2. Grab moving handles. 3. Move legs in elliptical pattern while pushing/pulling handles.,1,false,Cardio,Gym,"[""Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
112,Cardio – Elliptical Machine,both,1. Step onto machine safely. 2. Begin pedaling forward. 3. Keep smooth rhythm.,1,false,Cardio,Gym,"[""Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
113,Cardio – Recumbent Bike,both,1. Adjust seat distance so knee has slight bend at full extension. 2. Pedal smoothly.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
114,Cardio – Rowing Machine,both,"1. Drive with legs. 2. Swing body back. 3. Pull arms. 4. Reverse: Arms, Body, Legs.",1,false,Cardio,Gym,"[""Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
115,Cardio – Stairmaster  Stairmill,both,1. Start machine. 2. Step up continuously without letting steps hit bottom.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
116,Cardio – Stationary  Exercise Bike  Bicycle Spinning,both,1. Adjust seat height (hip bone). 2. Pedal with circular motion.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
117,Cat Back  Backward Camel Stretch,both,1. Hands and knees. 2. Exhale and round spine to ceiling (Cat). 3. Inhale and arch back (Cow).,15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
118,Chair  Bench Tricep Dips,both,"1. Sit on chair edge, hands gripping edge. 2. Slide butt off. 3. Lower body by bending elbows. 4. Push back up.",3,false,Strength,Gym,"[""Bench""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
119,Chair Squats,both,1. Stand in front of chair. 2. Sit back until glutes tap chair. 3. Stand up immediately.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
120,Chin Tucks  Neck Extensions,both,1. Sit tall. 2. Pull head straight back (double chin). 3. Hold. 4. Release.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
121,Clamshells  Clams,both,"1. Lie specific side, knees bent 90 deg. 2. Feet together. 3. Lift top knee (open clam). 4. Lower.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
122,Close Grip Lat Pulldowns  Pull Downs  Pullovers,both,1. Attach V-handle. 2. Sit and secure legs. 3. Lean back slightly. 4. Pull handle to upper chest.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
123,Close Grip Pullups  Chinups,both,1. Grip bar hands close (neutral or underhand). 2. Pull chin over bar. 3. Lower fully.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
124,Close-Grip Overhand Barbell Bench Press,both,1. Hands shoulder-width apart. 2. Lower bar to lower chest. 3. Keep elbows tucked close. 4. Press up.,3,false,Strength,Gym,"[""Barbell"", ""Bench""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
125,Cobra Abdominal Stretch  Old Horse Stretch,both,"1. Lie flat on stomach. 2. Hands under shoulders. 3. Push chest up, hips stay down.",15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
126,Contralateral Limb Raises,both,1. Lie back or Stand. 2. Lift opposite arm and leg simultaneously. 3. Switch.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
127,Cossack Squats,both,"1. Wide stance. 2. Shift weight to one leg, squatting deep. 3. Other leg straight, heel on floor, toe up. 4. Return to center.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
128,Crab Toe Touches,both,1. Crab walk position (hands/feet facing up). 2. Touch hand to opposite toe.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
129,Crab Walks,both,"1. Sit on floor, hands behind hips, feet flat. 2. Lift hips. 3. Walk using hands and feet.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
130,Cross Body Mountain Climbers,both,1. Plank position. 2. Drive right knee to left elbow. 3. Switch.,1,false,Cardio,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
131,Cross body Cable Rows,both,1. Cable waist height. 2. Pull across body with rotation.,3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
132,Crunches,both,"1. Lie on back, knees bent. 2. Flatten lower back. 3. Lift shoulders off floor.",3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
133,Dead Bug,both,"1. Lie flat, arms/legs to ceiling. 2. Lower opposite arm/leg. 3. Keep back flat.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
134,Decline Barbell Bench Press,both,1. Secure legs in decline bench. 2. Unrack bar. 3. Lower to lower chest. 4. Press.,3,false,Strength,Gym,"[""Barbell"", ""Bench""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
135,Decline Barbell Smith Press,both,1. Set bench in smith machine. 2. Align bar with lower chest. 3. Unlock and press.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
136,Decline Bench Crunches  Sit-ups,both,1. Lock legs in bench. 2. Lower torso back. 3. Crunch up.,3,false,Strength,Gym,"[""Bench""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
137,Decline Bench Dumbbell Press,both,1. Decline bench with dumbbells. 2. Press up over chest. 3. Lower wide.,3,false,Strength,Gym,"[""Dumbbells"", ""Bench""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
138,Decline Dumbbell Flyes,both,1. Arms extended over chest. 2. Open wide with slight bend. 3. Hug tree to close.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
139,Decline Lying Triceps Extension  Decline Skull Crushers,both,1. EZ bar/dumbbells. 2. Arms vertical. 3. Bend elbows to lower weight to forehead/behind head.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
140,Decline Push-ups  Pushups,both,1. Feet on bench/box. 2. Hands on floor. 3. Pushup.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
141,Diamond  Pyramid  Triceps Push-ups  Pushups,both,1. Hands form diamond shape under chest. 2. Lower chest to hands. 3. Push up.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
142,Donkey Kicks,both,"1. Hands and knees. 2. Kick one leg back and up, knee bent. 3. Squeeze glute.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
143,Double Arm Front Raises,both,1. Hold dumbbells. 2. Lift both arms firmly to front shoulder height.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
144,Double Arm Front Raises to Overhead Extension,both,1. Raise DBs to front. 2. Continue movement all the way overhead.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
145,Double Arm Side  Lateral Raises  Shoulder Abductions,both,1. DBs at sides. 2. Raise outward to T-shape.,3,true,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
146,Double Arm Side  Lateral Raises to Overhead Extension,both,1. Side raise. 2. Continue to overhead.,3,true,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
147,Double Crunches,both,1. Lie flat. 2. Crunch upper body AND knees to chest.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
148,Double Side Jackknifes,both,1. Lie on side. 2. Lift legs and torso sideways (V-up on side).,3,true,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
149,Downward Cable Wood Chops,both,1. High pulley. 2. Chop diagonally down reaching across body.,3,false,Strength,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
150,Dual  Two Arm Dumbbell Front Shoulder Raises,both,1. Stand with dumbbells. 2. Raise both forwards.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
151,Duck Walks  Squats,both,"1. Squat down until thighs parallel or lower. 2. Stay in squat position. 3. Walk forward, maintaining low hip height.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
152,Dumbbell Bent Over Lateral Rear Delt Raises  Flyes,both,1. Hinge forward hips 45-90 deg. 2. DBs under chest. 3. Raise arms to side like wings.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
153,Dumbbell Bicep Reverse Curls,both,1. Overhand grip (palms down). 2. Curl DBs to shoulders.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
154,Dumbbell Biceps Curl to Shoulder Press,both,1. Curl DBs to shoulders. 2. Rotate palms forward and press overhead. 3. Reverse.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
155,Dumbbell Chops,both,1. Hold one DB with both hands. 2. Squat/rotate to one side low. 3. Stand/rotate to opposite side high.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
156,Dumbbell Cuban Press,both,1. Upright row to 90 deg. 2. Rotate externally (Scarecrow). 3. Press overhead. 4. Reverse.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
157,Dumbbell Deadlifts,both,1. DBs at sides or front. 2. Hinge hips back. 3. Lower DBs towards floor. 4. Drive hips forward to stand.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
158,Dumbbell Flat Bench Press,both,1. Lie flat. 2. DBs over chest. 3. Lower until stretch (45 deg arms). 4. Press.,3,false,Strength,Gym,"[""Dumbbells"", ""Bench""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
159,Dumbbell Floor Chest Press,both,1. Lie on floor. 2. Lower triceps to floor. 3. Press up.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
160,Dumbbell Incline Bench Rows,both,1. Chest supported on incline bench. 2. Row DBs up.,3,false,Strength,Gym,"[""Dumbbells"", ""Bench""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
161,Dumbbell Lunges,both,1. DBs at sides. 2. Step forward. 3. Lower back knee. 4. Push back.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
162,Dumbbell Overhead Shoulder Press,both,1. Seated or standing. 2. DBs at shoulders. 3. Press vertically.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
163,Dumbbell Pullovers,both,1. Upper back on bench. 2. Hold DB with both hands over chest. 3. Drop back over head. 4. Pull to chest.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
164,Dumbbell Shrugs,both,1. Shoulders to ears. 2. Hold. 3. Lower.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
165,Dumbbell Side Lunges  Lateral Lunges,both,1. Step wide. 2. Hips back on one leg. 3. Other leg straight. 4. Drive up.,3,true,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
166,Dumbbell Snatch,both,1. One DB on floor. 2. Squat/Hinge. 3. Explosive pull + punch overhead in one motion.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
167,Dumbbell Squat Clean and Press,both,1. Clean DBs to shoulders. 2. Squat. 3. Press.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
168,Dumbbell Squat Thrusters  Squat to Overhead Press,both,1. DBs at shoulders. 2. Squat. 3. Explosively stand and press.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
169,Dumbbell Squats,both,1. DBs at sides or shoulders. 2. Squat down. 3. Stand up.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
170,Dumbbell Step-Ups,both,1. Step on box. 2. Drive through heel to stand. 3. Slow lower.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
171,Dumbbell Walking Lunges,both,"1. Step, lower, step through.",3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
172,Dumbbell Weighted Leg Pull-Ins,both,1. Seated. 2. DB between feet or knees. 3. Crunch knees to chest.,3,false,Strength,Gym,"[""Dumbbells""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
173,Dynamic Clap Push-ups  Pushups,both,1. Pushup position. 2. Lower. 3. Explosive push. 4. Clap. 5. Catch.,3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
174,EZ-Bar Preacher Curls,both,1. Arms on pad. 2. Curl EZ bar/DB.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
175,Elevated  Barbell Glute Bridges  Hip Raises,both,1. Bar/DB on hips. 2. Shoulders on bench (or floor). 3. Drive hips up.,3,false,Strength,Gym,"[""Barbell""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
176,Explosive Jumping Alternating Lunges,both,1. Lunge position. 2. Explosive jump. 3. Switch legs in air. 4. Land in lunge.,3,true,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
177,External Cable Shoulder Rotation,both,1. Elbow 90 deg at side. 2. Rotate hand away from body.,15,false,Stretching,Gym,"[""Cable Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
178,External Rotation  Bodyweight Calf Raises,both,1. Toes out (External rotation). 2. Calf raise.,15,false,Stretching,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
179,Face Pull  Rear Delt Pull,both,1. Rope high pulley. 2. Pull to forehead. 3. Hands beat elbows.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
180,Farmers Walk  Carry,both,1. Deadlift Heavy DBs. 2. Walk with short steps. 3. Posture perfect.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
181,Fire Hydrants  Abductor  Adductor Knee Raises,both,1. All fours. 2. Lift bent leg to side (like a dog).,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
182,Flat Bench Barbell Skull Crushers,both,1. Lie flat. 2. Bar over chest. 3. Bend elbows to forehead.,3,false,Strength,Gym,"[""Barbell"", ""Bench""]",true,kg,"{""beginner"": ""20-40"", ""intermediate"": ""50-80"", ""advanced"": ""100+""}"
183,Flat Bench Dumbbell Flyes,both,1. Lie flat. 2. Open arms wide. 3. Close.,3,false,Strength,Gym,"[""Dumbbells"", ""Bench""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""12-20"", ""advanced"": ""25+""}"
184,Floor  Power Jumps  Knee to Jump Squats,both,1. Kneeling. 2. Swing arms/hips to jump to feet. 3. Squat jump.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
185,Floor T Raises  Back Flyes,both,1. Lie on stomach. 2. Arms to side (T). 3. Lift arms.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
186,Flutter Kicks,both,1. Lie on back. 2. Legs straight. 3. Kick small kicks.,3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
187,Foam Roller Anterior Tibialis  Shin Stretch,both,1. Kneel on roller. 2. Roll front of shins gently.,15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
188,Foam Roller Calf  Calves Stretch,both,1. Leg on roller. 2. Lift hips. 3. Roll ankle to knee.,15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
189,Foam Roller Chest Opener Stretch,both,1. Roller along spine or under armpit/pec. 2. Open arms.,15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
190,Foam Roller Forearm Stretch,both,1. Roller on table/floor. 2. Press forearm/palm.,15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
191,Foam Roller Glutes  Butt Stretch,both,1. Sit on roller. 2. Cross ankle over knee (Figure 4). 3. Lean into hip.,15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
192,Foam Roller Hamstring Stretch,both,1. Thighs on roller. 2. Walk hands to roll.,15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
